start_date,end_date,status,ip_address,progress,duration_in_seconds,finished,recorded_date,response_id,recipient_last_name,recipient_first_name,recipient_email,external_reference,location_latitude,location_longitude,distribution_channel,user_language,instructor_cohorts,gender,educator_experience,prior_ai_experience,prior_ai_grading_tool,review_time,time_impact,workflow_fit,workflow_comment,rubric_alignment,feedback_clarity,score_accuracy,score_trust,current_model_appropriate,continuation_recommendation,continuation_modification_text,preferred_ai_model,additional_comment,progress_numeric,finished_flag,answer_count,primary_eligible,partial_substantive,preferred_model_group,instructor_cohorts_score,educator_experience_score,prior_ai_experience_score,review_time_score,time_impact_score,workflow_fit_score,rubric_alignment_score,feedback_clarity_score,score_accuracy_score,score_trust_score,current_model_appropriate_score,support_continuation,continuation_support_label,time_saving_binary,workflow_fit_positive,trust_positive,model_appropriate_positive,human_oversight_score,evaluation_item_count,ai_evaluation_index
46168.62745,46168.63176,IP Address,99.67.90.44,100,371,TRUE,46168.63177,R_1hwc8TLMkahAgnf,NA,NA,NA,NA,26.935,-80.1178,anonymous,EN,6 or more cohorts,Female,20+,Some experience,No,11-15 minutes,Saved some time,Somewhat disagree,"Vollee has gotten better, but still does not fully understand phonological awareness in preschoolers giving mastery on assignments that include print knowledge-letter names/letter sounds, printed words/letters.",Disagree,Neutral,Poor,Somewhat disagree,Somewhat disagree,Discontinue,NA,AI provides a first-pass grade and feedback; I review and approve every submission.,"We are discouraging learners from copy/pasting AI tools, yet relying on an “advanced grading system” (AI-assisted evaluation) can feel contradictory. Instead, it would be beneficial to ensure instructors have a strong understanding of all course concepts so they can provide consistent, detailed, and human-centered feedback aligned to each of the four skills/strategies.",100,TRUE,17,TRUE,FALSE,Universal human review,4,5,2,4,1,2,2,3,1,2,2,0,Discontinue,Saved time,Neutral/disagree,Neutral/disagree,Neutral/disagree,2,4,0.25
46168.6299,46168.63249,IP Address,174.211.160.102,100,223,TRUE,46168.6325,R_3zZLnx0v7DdeeYh,NA,NA,NA,NA,27.9947,-81.7381,anonymous,EN,6 or more cohorts,Female,16-20,Some experience,No,More than 20 minutes,Saved some time,Somewhat agree,Everything worked well.,Agree,Agree,Good,Somewhat agree,Somewhat agree,Continue with modifications (please describe),For the invalid assignments to specify what's about,AI provides a first-pass grade and feedback; I review and approve every submission.,Not at all.,100,TRUE,18,TRUE,FALSE,Universal human review,4,4,2,6,1,4,4,4,3,4,4,1,Continue in some form,Saved time,Agree,Agree,Agree,2,4,0.729166667
46168.63061,46168.63271,IP Address,166.199.149.42,100,180,TRUE,46168.63271,R_6CZAJJbZIfqfjzG,NA,NA,NA,NA,33.8486,-84.3557,anonymous,EN,6 or more cohorts,Female,20+,Some experience,No,3-5 minutes,Saved significant time,Somewhat agree,What worked well was having help with grading the assignments.  What didn't work well was that the feedback formatting made it difficult to read.,Agree,Agree,Excellent,Strongly agree,Strongly agree,Continue with modifications (please describe),Improve the formatting of the feedback.,AI flags low-confidence submissions for my review; the rest are auto-finalized,NA,100,TRUE,17,TRUE,FALSE,Limited human review,4,5,2,2,2,4,4,4,4,5,5,1,Continue in some form,Saved time,Agree,Agree,Agree,1,4,0.875
46168.64366,46168.65113,IP Address,75.18.119.76,100,646,TRUE,46168.65115,R_3GFQYoGvlDlOLxT,NA,NA,NA,NA,25.6586,-80.3556,anonymous,EN,6 or more cohorts,Female,20+,Extensive experience,No,11-15 minutes,Saved significant time,Somewhat agree,"From my perspective, the AI-assisted grading workflow worked well because it saved time when grading assignment #3 and helped generate feedback aligned with the provided rubric.",Agree,Agree,Good,Strongly agree,Somewhat agree,Continue with modifications (please describe),"The AI-assisted grading process is accurate and effective; however, its limitation to PDF or Word document submissions can create challenges for some practitioners who may not have access to the tools or resources needed to convert their assignments into the required formats.",AI provides a first-pass grade and feedback; I review and approve every submission.,"AI-assisted grading is useful for saving time and generating structured feedback, however, human review remains important to ensure feedback is personalized and accurately reflects student work. Improving submission accessibility would also make the system more user friendly for practitioners with limited technical resources.",100,TRUE,18,TRUE,FALSE,Universal human review,4,5,3,4,2,4,4,4,3,5,4,1,Continue in some form,Saved time,Agree,Agree,Agree,2,4,0.791666667
46168.65535,46168.66368,IP Address,73.53.223.102,100,719,TRUE,46168.66369,R_14Lzu12AhktN0eB,NA,NA,NA,NA,29.9475,-81.5264,anonymous,EN,6 or more cohorts,Female,20+,Some experience,No,6-10 minutes,Saved some time,Somewhat agree,The AI-assisted grading is not personalized to the learner and does not provide the learner with feedback on how to improve their practice.,Agree,Agree,Good,Somewhat agree,Strongly agree,Continue as-is,NA,AI provides formative feedback only; I grade all submissions independently.,NA,100,TRUE,16,TRUE,FALSE,Human-led grading,4,5,2,3,1,4,4,4,3,4,5,1,Continue in some form,Saved time,Agree,Agree,Agree,3,4,0.729166667
46168.71826,46168.72185,IP Address,73.205.135.73,100,309,TRUE,46168.72186,R_1dB02fY3mh07MUX,NA,NA,NA,NA,25.7844,-80.2331,anonymous,EN,6 or more cohorts,Female,20+,No experience,No,16-20 minutes,Added some time,Somewhat agree,"From my perspective, while it did help with grading the assignments that it accepts as mastery, for those that it deemed non-mastery required a more precise grading criteria, especially when the reason for non-mastery was not very obvious or felt 'nit-picky' to me. This, of course, is excluding the invalids, assignment submitted in Spanish or blank forms.",Agree,Neutral,Fair,Somewhat disagree,Somewhat disagree,Discontinue,NA,AI provides a first-pass grade and feedback; I review and approve every submission.,NA,100,TRUE,16,TRUE,FALSE,Universal human review,4,5,0,5,-1,4,4,3,2,2,2,0,Discontinue,No saving or added time,Agree,Neutral/disagree,Neutral/disagree,2,4,0.458333333
46168.73692,46168.74054,IP Address,38.186.43.63,100,312,TRUE,46168.74055,R_1WAyql522uvacHF,NA,NA,NA,NA,29.6959,-82.4042,anonymous,EN,6 or more cohorts,Female,15-Nov,No experience,No,11-15 minutes,Made no difference,Somewhat disagree,May term was terribly delayed grading from Vollee.,Agree,Neutral,Fair,Somewhat agree,Neither agree nor disagree,Discontinue,NA,AI provides formative feedback only; I grade all submissions independently.,NA,100,TRUE,16,TRUE,FALSE,Human-led grading,4,3,0,4,0,2,4,3,2,4,3,0,Discontinue,No saving or added time,Neutral/disagree,Agree,Neutral/disagree,3,4,0.583333333
46168.81418,46168.81701,IP Address,97.163.123.5,100,244,TRUE,46168.81702,R_6851zJASwfUcoF3,NA,NA,NA,NA,28.4932,-81.2878,anonymous,EN,2-3 cohorts,Female,20+,Minimal experience,No,6-10 minutes,Made no difference,Neither agree nor disagree,"I understood the AI would grade deliverable 3, however it kept unsyncing from the LMS which would cause submissions to be delayed.",Agree,Neutral,Good,Somewhat agree,Neither agree nor disagree,Discontinue,NA,I have no strong preference.,NA,100,TRUE,16,TRUE,FALSE,No strong preference,2,5,1,3,0,3,4,3,3,4,3,0,Discontinue,No saving or added time,Neutral/disagree,Agree,Neutral/disagree,NA,4,0.666666667
46168.83397,46168.83579,IP Address,108.93.59.68,100,157,TRUE,46168.8358,R_65yJJ1jKnBnQlYS,NA,NA,NA,NA,25.7259,-80.4036,anonymous,EN,6 or more cohorts,Female,20+,Some experience,No,6-10 minutes,Saved some time,Neither agree nor disagree,NA,Agree,Agree,Good,Neither agree nor disagree,Somewhat agree,Continue with modifications (please describe),Adjusting the grade is not user friendly.,AI provides a first-pass grade and feedback; I review and approve every submission.,NA,100,TRUE,16,TRUE,FALSE,Universal human review,4,5,2,3,1,3,4,4,3,3,4,1,Continue in some form,Saved time,Neutral/disagree,Neutral/disagree,Agree,2,4,0.666666667
46168.85338,46168.85558,IP Address,104.12.12.232,100,190,TRUE,46168.85559,R_60ubrUpYbcQKE0N,NA,NA,NA,NA,29.5554,-81.2207,anonymous,EN,4-5 cohorts,Female,16-20,Some experience,No,3-5 minutes,Saved some time,Somewhat agree,NA,Agree,Disagree,Good,Somewhat agree,Somewhat agree,Discontinue,NA,AI provides a first-pass grade and feedback; I review and approve every submission.,NA,100,TRUE,15,TRUE,FALSE,Universal human review,3,4,2,2,1,4,4,2,3,4,4,0,Discontinue,Saved time,Agree,Agree,Agree,2,4,0.604166667
